Symbol,Date,Open,High,Low,Close,Adj Close,Volume
JNJ,5/27/2020,144.320007,145.25,143.009995,144.889999,140.338272,7950000
JNJ,5/28/2020,146.020004,148.110001,145.809998,146.970001,142.352936,6189600
JNJ,5/29/2020,147.960007,149.350006,145.330002,148.75,144.077026,8504000
JNJ,6/1/2020,147.289993,148.339996,146.009995,147.190002,142.56601,6141800
JNJ,6/2/2020,147.059998,148.350006,146.119995,148.25,143.592743,6078300
JNJ,6/3/2020,148.520004,149.139999,146.449997,148.649994,143.980133,6339500
JNJ,6/4/2020,146.800003,148.369995,145.580002,146.729996,142.120468,8170500
JNJ,6/5/2020,147.690002,149.639999,146.600006,147.300003,142.672577,9725400
JNJ,6/8/2020,145.880005,147.610001,145.740005,146.770004,142.159241,7555600
JNJ,6/9/2020,148.25,149.330002,145.649994,145.960007,141.374664,8247200
JNJ,6/10/2020,146.600006,150.029999,146.600006,147.800003,143.156876,10137100
JNJ,6/11/2020,148.580002,149.169998,140.75,140.869995,136.444565,11913300
JNJ,6/12/2020,142.839996,143.710007,140.279999,142.149994,137.684326,8687400
JNJ,6/15/2020,141,142.399994,139.389999,141.25,136.812637,8649600
JNJ,6/16/2020,144.089996,145.419998,142.770004,144.460007,139.921783,7579100
JNJ,6/17/2020,144.899994,145.419998,143.470001,144.020004,139.495621,5100100
JNJ,6/18/2020,142.520004,144.119995,141.869995,143.410004,138.90477,4797400
JNJ,6/19/2020,145.789993,145.880005,143.25,143.830002,139.311569,12206900
JNJ,6/22/2020,143.470001,143.660004,142.029999,143.389999,138.885391,5285600
JNJ,6/23/2020,143.740005,144.080002,142.679993,142.860001,138.372055,5921600
JNJ,6/24/2020,141.490005,142.190002,138.720001,139.820007,135.427567,8211200
JNJ,6/25/2020,140.570007,140.570007,137.539993,139.669998,135.282242,7421200
JNJ,6/26/2020,139.529999,139.600006,137.020004,137.809998,133.480682,12849700
JNJ,6/29/2020,138.740005,139.699997,137.979996,139.039993,134.672043,5309800
JNJ,6/30/2020,139.399994,141.020004,137.839996,140.630005,136.212112,7738300
JNJ,7/1/2020,140.690002,141.389999,140.059998,140.380005,135.969971,6174800
JNJ,7/2/2020,141.25,141.839996,140.330002,140.970001,136.541428,5152200
JNJ,7/6/2020,142.169998,143.770004,141.880005,142.979996,138.488281,6156400
JNJ,7/7/2020,141.389999,143.970001,141.229996,142.850006,138.362366,5622600
JNJ,7/8/2020,142.869995,143.389999,141.699997,143.270004,138.769165,6257400
JNJ,7/9/2020,142.759995,144.429993,140.580002,142.490005,138.013687,5738600
JNJ,7/10/2020,142.75,142.869995,141.429993,142.369995,137.897446,4282400
JNJ,7/13/2020,143.610001,146.639999,143.279999,145.210007,140.648224,6951900
JNJ,7/14/2020,145.320007,148.389999,145.259995,147.919998,143.273087,7447100
JNJ,7/15/2020,149.729996,150.210007,148.229996,148.259995,143.602417,8512800
JNJ,7/16/2020,148.679993,149.339996,146.679993,149.25,144.56131,9304700
JNJ,7/17/2020,150,150.580002,148.690002,149.350006,144.658173,7441100
JNJ,7/20/2020,150.229996,150.320007,148.429993,149.600006,144.900314,6191500
JNJ,7/21/2020,149.600006,151.669998,149.5,149.740005,145.035919,5575900
JNJ,7/22/2020,149.929993,150.410004,147.850006,150.009995,145.29744,5910200
JNJ,7/23/2020,150.210007,150.850006,149.279999,149.610001,144.910004,6566300
JNJ,7/24/2020,150.5,150.600006,147.029999,148.119995,143.466812,5405900
JNJ,7/27/2020,147.369995,148.919998,146.860001,147.179993,142.55632,5675200
JNJ,7/28/2020,147.399994,147.990005,146.75,146.830002,142.217346,4842200
JNJ,7/29/2020,146.389999,147.470001,146.070007,146.539993,141.936432,4489100
JNJ,7/30/2020,147.440002,147.5,146.139999,146.839996,142.22702,5922500
JNJ,7/31/2020,146.660004,147.449997,143.960007,145.759995,141.180954,8259600
JNJ,8/3/2020,146.389999,147.789993,146.149994,147.350006,142.720993,4078700
JNJ,8/4/2020,146.990005,147.220001,145.820007,147.220001,142.595078,4162200
JNJ,8/5/2020,149.100006,149.309998,147.800003,148.399994,143.738007,5467500
JNJ,8/6/2020,148.399994,149.25,146.5,147.550003,142.914719,4837900
JNJ,8/7/2020,147.509995,148.649994,147.149994,148.600006,143.931747,3635100
JNJ,8/10/2020,148.860001,149.009995,147.720001,148.029999,143.379623,4096600
JNJ,8/11/2020,149.139999,149.229996,146.369995,146.970001,142.352936,6388400
JNJ,8/12/2020,147.539993,150.240005,147.490005,149.660004,144.95842,5257300
JNJ,8/13/2020,148.539993,149.190002,147.529999,148,143.350586,5155500
JNJ,8/14/2020,147.610001,149.339996,147.580002,148.240005,143.583038,4240200
JNJ,8/17/2020,148.320007,150.229996,148.229996,148.990005,144.309479,4306900
JNJ,8/18/2020,149.259995,150.100006,148.570007,150.089996,145.374908,4322600
JNJ,8/19/2020,149.580002,151.580002,149.320007,150.389999,145.665512,7816300
JNJ,8/20/2020,149.75,151.580002,149.550003,151.419998,146.663147,4874700
JNJ,8/21/2020,151.779999,153.649994,150.589996,152.759995,147.961029,6722800
JNJ,8/24/2020,152.740005,152.899994,150.350006,152.149994,148.351059,5387900
JNJ,8/25/2020,152.779999,153.070007,151.539993,152.059998,148.263306,3863500
JNJ,8/26/2020,151.860001,152.649994,150.639999,152.300003,148.497314,8008300
JNJ,8/27/2020,152.419998,153.259995,151.889999,152.979996,149.160339,5575400
JNJ,8/28/2020,152.740005,153.699997,151.899994,153.639999,149.803864,5395700
JNJ,8/31/2020,153,154.399994,152.259995,153.410004,149.579605,6362700
JNJ,9/1/2020,153.869995,154.080002,150.070007,151.520004,147.736801,6307700
JNJ,9/2/2020,150.789993,154.330002,149.25,153.830002,149.98912,6881900
JNJ,9/3/2020,154.830002,155.470001,148.300003,149.550003,145.815979,8672800
JNJ,9/4/2020,150.169998,150.949997,147.130005,148.589996,144.879944,7200100
JNJ,9/8/2020,150.25,150.889999,146.899994,147.259995,143.583145,8756800
JNJ,9/9/2020,148.149994,151.100006,148.119995,149.699997,145.962234,6960700
JNJ,9/10/2020,149.25,149.779999,146.520004,146.910004,143.241898,6191800
JNJ,9/11/2020,147.050003,148.529999,146.630005,147.779999,144.090179,3934700
JNJ,9/14/2020,148.119995,149.470001,148.009995,148.350006,144.645935,4375800
JNJ,9/15/2020,149.449997,150.589996,148.520004,148.889999,145.17247,3658800
JNJ,9/16/2020,149.389999,150.059998,148.350006,148.399994,144.694687,4323000
JNJ,9/17/2020,148.039993,148.630005,146.050003,147.169998,143.495392,5461400
JNJ,9/18/2020,146.509995,149.649994,146.199997,149.179993,145.4552,12174000
JNJ,9/21/2020,147.580002,147.929993,142.960007,145.100006,141.477097,7574500
JNJ,9/22/2020,144.690002,145.350006,143.720001,144.210007,140.609314,5295900
JNJ,9/23/2020,147.479996,147.550003,144.380005,144.440002,140.833572,8784400
JNJ,9/24/2020,144.559998,145.25,143.339996,144.669998,141.057816,5614800
JNJ,9/25/2020,144,146.25,143.889999,145.660004,142.023102,5531200
JNJ,9/28/2020,146.729996,148.289993,146.419998,147.110001,143.436905,5843200
JNJ,9/29/2020,147.600006,147.919998,146.059998,147.059998,143.388138,6768600
JNJ,9/30/2020,147.449997,149.729996,146.839996,148.880005,145.16272,8487700
JNJ,10/1/2020,149.309998,149.649994,146.460007,147.320007,143.641678,6457800
JNJ,10/2/2020,146.210007,148.410004,145.830002,146.240005,142.588623,5485600
JNJ,10/5/2020,147,148.380005,146.419998,148.229996,144.528931,4992800
JNJ,10/6/2020,148.279999,148.610001,145.869995,146.259995,142.608124,5118200
JNJ,10/7/2020,146.490005,148.229996,145.809998,147.880005,144.187683,5603100
JNJ,10/8/2020,148.5,149.850006,148.039993,148.889999,145.17247,4413500
JNJ,10/9/2020,149.649994,151.479996,149.449997,150.970001,147.200516,5054100
JNJ,10/12/2020,151.600006,153.139999,151.020004,151.839996,148.048813,7273200
JNJ,10/13/2020,149,150.119995,147.770004,148.360001,144.655685,11057600
JNJ,10/14/2020,148.820007,149.029999,147.389999,148.100006,144.402206,7706400
JNJ,10/15/2020,147.479996,147.899994,146.330002,147.190002,143.514893,5978600
JNJ,10/16/2020,147.600006,148.759995,147.009995,148.100006,144.402206,6097000
JNJ,10/19/2020,148.529999,148.899994,144.130005,144.320007,140.716583,7250800
JNJ,10/20/2020,144.660004,145.75,144.119995,144.550003,140.940826,5325400
JNJ,10/21/2020,144.119995,145.339996,143.910004,143.929993,140.336288,5221300
JNJ,10/22/2020,144.160004,145.690002,143.839996,145.080002,141.457581,5279700
JNJ,10/23/2020,145.880005,147.470001,144.350006,145.240005,141.613586,4154400
JNJ,10/26/2020,144.429993,144.770004,142.75,143.970001,140.375305,6929500
